2018-02-26T15:48:26.919718,1,0,0,0,0.2
2018-02-26T15:48:34.156079,0,1,0,0,13.3
2018-02-26T15:48:40.026661,0,1,0,0,75.6
2018-02-26T15:48:41.875965,0,1,0,0,76.1
2018-02-26T15:48:50.039522,0,1,0,0,75.7
2018-02-26T15:49:05.343334,0,1,0,1,64.1
2018-02-26T15:49:13.143811,0,1,0,2,76.3
2018-02-26T15:49:15.011685,0,1,0,2,72.5
2018-02-26T15:49:21.198125,0,1,0,3,76.5
2018-02-26T15:49:30.500889,0,1,0,4,73.8
2018-02-26T15:49:39.004484,0,1,0,4,74.8
2018-02-26T15:49:48.766417,0,1,0,5,76.3
2018-02-26T15:50:01.144743,0,1,0,6,73.3
2018-02-26T15:50:16.472621,0,1,0,8,76.2
2018-02-26T15:50:29.147705,0,1,0,7,74.4
2018-02-26T15:50:35.588782,0,1,0,8,75.0
2018-02-26T15:50:47.238836,0,1,1,9,77.3
2018-02-26T15:51:00.836671,0,1,1,9,73.0
2018-02-26T15:51:10.049463,0,1,1,10,76.9
2018-02-26T15:51:20.841305,0,1,1,11,73.7
2018-02-26T15:51:42.036878,0,1,1,11,75.5
2018-02-26T15:51:44.382051,0,1,1,11,76.1
2018-02-26T15:51:51.397667,0,1,2,12,69.1
2018-02-26T15:51:55.742061,0,1,2,12,74.2
2018-02-26T15:52:02.161762,0,1,2,14,75.3
2018-02-26T15:52:17.205621,0,1,2,13,69.7
2018-02-26T15:52:19.241840,0,1,2,13,72.9
2018-02-26T15:52:21.705262,0,1,2,13,73.8
2018-02-26T15:52:32.637872,0,1,2,15,75.6
2018-02-26T15:52:37.609510,0,1,2,16,75.5
2018-02-26T15:53:00.522427,0,1,2,16,73.6
2018-02-26T15:53:06.583006,0,1,2,17,75.8
2018-02-26T15:53:09.347346,0,1,2,17,77.1
2018-02-26T15:53:18.310329,0,1,3,16,70.4
2018-02-26T15:53:28.085667,0,2,2,17,72.3,75.1
2018-02-26T15:53:39.640505,0,2,2,16,76.1,74.7
2018-02-26T15:53:47.690431,0,2,2,17,78.1,74.8
2018-02-26T15:54:00.365288,0,2,2,16,71.0,76.6
2018-02-26T15:54:02.634631,0,2,2,17,75.1,78.1
2018-02-26T15:54:16.232075,0,2,2,17,73.3,72.0
2018-02-26T15:54:33.226445,0,2,2,20,71.6,76.6
2018-02-26T15:54:52.853113,0,3,1,17,58.8,70.3,72.9
2018-02-26T15:55:01.526945,0,3,1,18,63.1,73.1,76.4
2018-02-26T15:55:03.604873,0,3,1,18,60.8,74.3,61.8
2018-02-26T15:55:08.623114,0,3,1,18,61.5,65.5,71.8
2018-02-26T15:55:16.730438,0,3,1,18,63.0,71.8,74.7
2018-02-26T15:55:22.803136,0,3,1,19,61.5,72.1,77.8
2018-02-26T15:55:40.694934,0,3,1,18,68.9,70.5,73.8
2018-02-26T15:55:53.422908,0,3,1,17,69.8,72.8,76.2
2018-02-26T15:56:05.895037,0,3,1,18,71.3,68.5,72.5
2018-02-26T15:56:13.822953,0,3,1,19,73.0,72.2,75.5
2018-02-26T15:56:28.463041,0,3,1,17,67.6,70.9,73.9
2018-02-26T15:56:38.397358,0,3,1,17,62.1,72.8,74.2
2018-02-26T15:56:51.501471,0,4,0,16,70.4,68.2,75.9,77.4
2018-02-26T15:56:57.855334,0,4,0,16,71.4,71.7,71.2,68.3
2018-02-26T15:57:06.583919,0,4,0,17,73.0,73.5,75.9,75.0
2018-02-26T15:57:16.143681,0,4,0,14,67.1,69.2,76.6,77.3
2018-02-26T15:57:36.563874,0,3,0,15,72.3,76.2,73.2
2018-02-26T15:57:44.984133,0,3,0,15,68.6,73.8,80.3
2018-02-26T15:57:50.669643,0,3,0,15,71.7,76.1,70.1
2018-02-26T15:57:54.069851,0,3,0,15,71.4,75.6,76.6
2018-02-26T15:58:05.355103,0,3,0,15,74.0,78.3,75.3
2018-02-26T15:58:18.951840,0,3,0,13,69.0,73.3,72.4
2018-02-26T15:58:20.919916,0,3,0,14,72.7,76.1,76.5
2018-02-26T15:58:29.626011,0,3,0,15,73.6,77.5,75.7
2018-02-26T15:58:35.687832,0,3,0,13,66.5,70.9,77.6
2018-02-26T15:58:43.674085,0,3,0,14,71.9,76.2,72.2
2018-02-26T15:59:00.536083,0,3,0,13,71.2,75.8,76.0
2018-02-26T15:59:11.627925,0,3,0,14,71.4,75.7,74.7
2018-02-26T15:59:19.680035,0,3,0,14,74.0,78.8,76.2
2018-02-26T15:59:29.200191,0,3,0,12,68.4,72.1,78.0
2018-02-26T15:59:37.179079,0,3,0,12,71.1,75.1,72.1
2018-02-26T15:59:42.200027,0,3,0,15,73.9,77.6,76.0
